name,code,isActive,0
Crcam Ille-Vil.Cci,CIV.PA,0
Crcam Langued Cci,CRLA.PA,0
Crcam Loire Hte L.,CRLO.PA,0
Crcam Morbihan Cci,CMO.PA,0
Crcam Nord Cci,CNDF.PA,0
Crcam Norm.Seine,CCN.PA,0
Crcam Paris Et Idf,CAF.PA,0
Crcam Sud R.A.Cci,CRSU.PA,0
Crcam Touraine Cci,CRTO.PA,0
Credit Agricole,ACA.PA,1
Crossject,ALCJ.PA,0
Crosswood,CROS.PA,0
Cybergun,ALCYB.PA,0
D.L.S.I.,ALDLS.PA,0
Damaris,MLDAM.PA,0
Damartex,ALDAR.PA,0
Danone,BN.PA,0
Dassault Aviation,AM.PA,0
Dassault Systemes,DSY.PA,0
Dbt,ALDBT.PA,0
Dbv Technologies,DBV.PA,0
Deezer,DEEZR.PA,0
Dekuple,DKUPL.PA,0
Delfingen,ALDEL.PA,0
Delta Plus Group,ALDLT.PA,0
Derichebourg,DBG.PA,0
Devernois,ALDEV.PA,0
Diagnostic Medical,ALDMS.PA,0
Dnxcorp,ALDNX.PA,0
Dock.Petr.Ambes Am,DPAM.PA,0
Dolfines,ALDOL.PA,0
Dontnod,ALDNE.PA,0
Drone Volt,ALDRV.PA,0
Dynafond,MLDYN.PA,0
Dynex Energy Sa,MLDYX.PA,0
E Pango,ALAGO.PA,0
Eaux De Royan,MLEDR.PA,0
Ecomiam,ALECO.PA,0
Ecoslops,ALESA.PA,0
Edenred,EDEN.PA,0
Ediliziacrobatica,ALEAC.PA,0
Editions Du Signe,MLEDS.PA,0
Eduform Action,MLEFA.PA,0
Eduniversal,MLEDU.PA,0
Egide,ALGID.PA,0
Eiffage,FGR.PA,0
Ekinops,EKI.PA,0
Elec.Strasbourg,ELEC.PA,0
Elect. Madagascar,EEM.PA,0
Elior Group,ELIOR.PA,0
Elis,ELIS.PA,0
Elix,MLERH.PA,0
Embention,MLUAV.PA,0
Emova Group,ALEMV.PA,0
Encres Dubuit,ALDUB.PA,0
Enensys,ALNN6.PA,0
Energisme,ALNRG.PA,0
Engie,ENGI.PA,0
Enogia,ALENO.PA,0
Entech,ALESE.PA,0
Entreparticuliers,ALENT.PA,0
Entreprendre,ALENR.PA,0
Eo2,ALEO2.PA,0
Equasens,EQS.PA,0
Eramet,ERA.PA,0
Essilorluxottica,EL.PA,0
Esso,ES.PA,0
Eurasia Fonc Inv,EFI.PA,0
Eurasia Groupe,ALEUA.PA,0
Eurazeo,RF.PA,0
Euroapi,EAPI.PA,0
Eurobio-Scientific,ALERS.PA,0
Eurofins Cerep,ALECR.PA,0
Eurofins Scient.,ERF.PA,0
Euroland Corporate,MLERO.PA,0
Eurolog Canola,MLCAN.PA,0
Euromedis Groupe,ALEMG.PA,0
Euronext,ENX.PA,0
Europacorp,ALECP.PA,0
Europlasma,ALEUP.PA,0
Eutelsat Communic.,ETL.PA,0
Evergreen,EGR.PA,0
Exacompta Clairef.,ALEXA.PA,0
Exail Technologies,EXA.PA,0
Exel Industries,EXE.PA,0
Explosifs Prod.Chi,EXPL.PA,0
Facephi,ALPHI.PA,0
Faifey Invest,MLECE.PA,0
Fashion B Air,ALFBA.PA,0
Fayenc.Sarreguemi.,FAYE.PA,0
Fd,MLFDV.PA,0
Fdj,FDJU.PA,0
Ferm.Cas.Mun.Canne,FCMC.PA,0
Fiducial Off.Sol.,SACI.PA,0
Fiducial Real Est.,ORIA.PA,0
Figeac Aero,FGA.PA,0
Fill Up Media,ALFUM.PA,0
Fin.Ouest Africain,FOAF.PA,0
Financiere Marjos,FINM.PA,0
Finaxo,MLFXO.PA,0
Fipp,FIPP.PA,0
Firstcaution,MLFIR.PA,0
Fleury Michon,ALFLE.PA,0
Florentaise,ALFLO.PA,0
Fnac Darty,FNAC.PA,0
Fnptechnologiessa,MLFNP.PA,0
Fonciere 7 Invest,LEBL.PA,0
Fonciere Inea,INEA.PA,0
Fonciere Lyonnaise,FLY.PA,0
Fonciere Vindi,MLVIN.PA,0
Fonciere Volta,SPEL.PA,0
Forestiere Equat.,FORE.PA,0
Forsee Power,FORSE.PA,0
Forvia,FRVIA.PA,0
Fountaine Pajot,ALFPC.PA,0
Francaise Energie,FDE.PA,0
France Tourisme,MLFTI.PA,0
Freelance.Com,ALFRE.PA,0
Frey,FREY.PA,0
G.A.I.,MLGAI.PA,0
Galeo,MLGAL.PA,0
